	photo_cnt	photo_like_cnt	photo_like_max	photo_like_mean	photo_like_median	photo_month_mean	photo_repost_cnt	photo_repost_max	photo_repost_mean	photo_repost_median	photo_text	photo_text_len_cnt	photo_yer_mean	uid	vk_photo_ava_change_cnt	vk_photo_text_url_len_cnt	vk_photo_wall_ph_post_cnt
2	4	309	106	77.25	72.0	1.3333333333333333	0	0	0.0	0.0	   	0.0	1.3333333333333333	182152789	0	0	0
3	19	2894	278	152.31578947368422	152.0	2.375	2	1	0.10526315789473684	0.0	                  	0.0	3.1666666666666665	148020433	0	0	0
4	7	2406	565	343.7142857142857	328.0	1.4	0	0	0.0	0.0	      	0.0	2.3333333333333335	138413935	0	0	0
5	50	1310	47	26.2	25.0	4.166666666666667	0	0	0.0	0.0	                                                 	0.0	12.5	366261055	0	0	0
6	35	1375	622	39.285714285714285	19.0	3.1818181818181817	0	0	0.0	0.0	                                  	0.0	8.75	111252392	0	0	0
7	10	183	40	18.3	17.5	2.5	0	0	0.0	0.0	         	0.0	1.6666666666666667	145109161	0	0	0
8	6	322	63	53.666666666666664	52.0	1.2	0	0	0.0	0.0	     	0.0	3.0	140207230	0	0	0
9	45	1562	81	34.71111111111111	34.0	3.75	0	0	0.0	0.0	                                            	0.0	7.5	226190631	0	0	0
10	16	1207	122	75.4375	72.0	2.2857142857142856	2	1	0.125	0.0	     Предновогоднее настроение 🌟💞       To the moon & back   Просто счастлива...❤️	0.0	5.333333333333333	72089509	0	0	0
11														409423465.0			
12	17	1601	219	94.17647058823529	91.0	2.4285714285714284	0	0	0.0	0.0	               Красивое в простом, да?🛁 	0.0	3.4	200200185	0	0	0
13	7	181	48	25.857142857142858	20.0	2.3333333333333335	0	0	0.0	0.0	      	0.0	3.5	225034980	0	0	0
14	56	1076	138	19.214285714285715	14.5	4.666666666666667	1	1	0.017857142857142856	0.0	  ГРАЖДАНКА ЭРЭФ, 17 годиков фап-фап                               йоу                    Угадай кто 	0.0	8.0	202057474	0	0	0
15	18	648	68	36.0	35.0	2.0	0	0	0.0	0.0	                 	0.0	4.5	69234218	0	0	0
16	2	53	31	26.5	26.5	1.0	0	0	0.0	0.0	 	0.0	1.0	318022418	0	0	0
17														183553137.0			
18	7	241	55	34.42857142857143	36.0	1.1666666666666667	0	0	0.0	0.0	      	0.0	3.5	268125862	0	0	0
19	12	247	41	20.583333333333332	12.5	2.4	0	0	0.0	0.0	           	0.0	3.0	189498939	0	0	0
20	7	60	20	8.571428571428571	6.0	2.3333333333333335	0	0	0.0	0.0	      	0.0	3.5	246467059	0	0	0
21	1	436	436	436.0	436.0	1.0	0	0	0.0	0.0		0.0	1.0	140518353	0	0	0
22	3	274	111	91.33333333333333	90.0	1.5	0	0	0.0	0.0	  	0.0	1.0	167112986	0	0	0
23	10	688	157	68.8	73.0	2.0	0	0	0.0	0.0	         	0.0	2.0	186415627	0	0	0
24	5	312	93	62.4	57.0	1.25	0	0	0.0	0.0	    	0.0	2.5	135097769	0	0	0
25	15	380	55	25.333333333333332	25.0	1.5	1	1	0.06666666666666667	0.0	              	0.0	3.0	106288002	0	0	0
26	33	4532	280	137.33333333333334	122.0	2.75	2	1	0.06060606060606061	0.0	                                	0.0	8.25	241412773	0	0	0
27	1	117	117	117.0	117.0	1.0	0	0	0.0	0.0		0.0	1.0	101712503	0	0	0
28	4	84	43	21.0	17.0	1.0	0	0	0.0	0.0	  историческая ху*ня 	0.0	1.3333333333333333	94832083	0	0	0
29	16	2847	260	177.9375	179.0	1.7777777777777777	0	0	0.0	0.0	               	0.0	4.0	219446892	0	0	0
