MSZoning,LotFrontage,LotArea,Street,Utilities,HouseStyle,YearBuilt,Foundation,TotRmsAbvGrd,KitchenAbvGr,MoSold,YrSold,SaleCondition,SalePrice
RL,65.0,8450,Pave,AllPub,2Story,2003,PConc,8,1,2,2008,Normal,2
RL,80.0,9600,Pave,AllPub,1Story,1976,CBlock,6,1,5,2007,Normal,2
RL,68.0,11250,Pave,AllPub,2Story,2001,PConc,6,1,9,2008,Normal,2
RL,60.0,9550,Pave,AllPub,2Story,1915,BrkTil,7,1,2,2006,Abnorml,1
RL,84.0,14260,Pave,AllPub,2Story,2000,PConc,9,1,12,2008,Normal,2
RL,85.0,14115,Pave,AllPub,1.5Fin,1993,Wood,5,1,10,2009,Normal,1
RL,75.0,10084,Pave,AllPub,1Story,2004,PConc,7,1,8,2007,Normal,3
RL,,10382,Pave,AllPub,2Story,1973,CBlock,7,1,11,2009,Normal,2
RM,51.0,6120,Pave,AllPub,1.5Fin,1931,BrkTil,8,2,4,2008,Abnorml,1
RL,50.0,7420,Pave,AllPub,1.5Unf,1939,BrkTil,5,2,1,2008,Normal,1
RL,70.0,11200,Pave,AllPub,1Story,1965,CBlock,5,1,2,2008,Normal,1
RL,85.0,11924,Pave,AllPub,2Story,2005,PConc,11,1,7,2006,Partial,3
RL,,12968,Pave,AllPub,1Story,1962,CBlock,4,1,9,2008,Normal,1
RL,91.0,10652,Pave,AllPub,1Story,2006,PConc,7,1,8,2007,Partial,3
RL,,10920,Pave,AllPub,1Story,1960,CBlock,5,1,5,2008,Normal,1
RM,51.0,6120,Pave,AllPub,1.5Unf,1929,BrkTil,5,1,7,2007,Normal,1
RL,,11241,Pave,AllPub,1Story,1970,CBlock,5,1,3,2010,Normal,1
RL,72.0,10791,Pave,AllPub,1Story,1967,Slab,6,2,10,2006,Normal,0
RL,66.0,13695,Pave,AllPub,1Story,2004,PConc,6,1,6,2008,Normal,1
RL,70.0,7560,Pave,AllPub,1Story,1958,CBlock,6,1,5,2009,Abnorml,1
RL,101.0,14215,Pave,AllPub,2Story,2005,PConc,9,1,11,2006,Partial,3
RM,57.0,7449,Pave,AllPub,1.5Unf,1930,PConc,6,1,6,2007,Normal,1
RL,75.0,9742,Pave,AllPub,1Story,2002,PConc,7,1,9,2008,Normal,2
RM,44.0,4224,Pave,AllPub,1Story,1976,PConc,6,1,6,2007,Normal,1
RL,,8246,Pave,AllPub,1Story,1968,CBlock,6,1,5,2010,Normal,1
RL,110.0,14230,Pave,AllPub,1Story,2007,PConc,7,1,7,2009,Normal,2
RL,60.0,7200,Pave,AllPub,1Story,1951,CBlock,5,1,5,2010,Normal,1
RL,98.0,11478,Pave,AllPub,1Story,2007,PConc,7,1,5,2010,Normal,3
RL,47.0,16321,Pave,AllPub,1Story,1957,CBlock,6,1,12,2006,Normal,2
RM,60.0,6324,Pave,AllPub,1Story,1927,BrkTil,4,1,5,2008,Normal,0
C (all),50.0,8500,Pave,AllPub,2Story,1920,BrkTil,6,1,7,2008,Normal,0
RL,,8544,Pave,AllPub,1Story,1966,CBlock,6,1,6,2008,Normal,1
RL,85.0,11049,Pave,AllPub,1Story,2007,PConc,7,1,1,2008,Normal,2
RL,70.0,10552,Pave,AllPub,1Story,1959,CBlock,6,1,4,2010,Normal,1
RL,60.0,7313,Pave,AllPub,1Story,2005,PConc,6,1,8,2007,Normal,2
RL,108.0,13418,Pave,AllPub,2Story,2004,PConc,9,1,9,2006,Normal,3
RL,112.0,10859,Pave,AllPub,1Story,1994,PConc,6,1,6,2009,Normal,1
RL,74.0,8532,Pave,AllPub,1Story,1954,CBlock,5,1,10,2009,Normal,1
RL,68.0,7922,Pave,AllPub,1Story,1953,CBlock,5,1,1,2010,Abnorml,1
RL,65.0,6040,Pave,AllPub,1Story,1955,PConc,6,2,6,2008,AdjLand,0
RL,84.0,8658,Pave,AllPub,1Story,1965,CBlock,6,1,12,2006,Abnorml,1
RL,115.0,16905,Pave,AllPub,1Story,1959,CBlock,5,1,7,2007,Normal,1
RL,,9180,Pave,AllPub,SFoyer,1983,CBlock,5,1,12,2007,Normal,1
RL,,9200,Pave,AllPub,1Story,1975,CBlock,5,1,7,2008,Normal,1
RL,70.0,7945,Pave,AllPub,1Story,1959,CBlock,6,1,5,2006,Normal,1
RL,61.0,7658,Pave,AllPub,1Story,2005,PConc,6,1,2,2010,Normal,3
RL,48.0,12822,Pave,AllPub,1.5Fin,2003,PConc,6,1,8,2009,Abnorml,2
FV,84.0,11096,Pave,AllPub,1Story,2006,PConc,7,1,7,2007,Normal,2
RM,33.0,4456,Pave,AllPub,2Story,1920,BrkTil,8,3,6,2009,Partial,1
RL,66.0,7742,Pave,AllPub,1Story,1966,CBlock,6,1,1,2007,Normal,1
RL,,13869,Pave,AllPub,2Story,1997,PConc,6,1,7,2007,Normal,1
RM,52.0,6240,Pave,AllPub,1.5Fin,1934,PConc,6,1,9,2006,Normal,1
RM,110.0,8472,Grvl,AllPub,1Story,1963,CBlock,5,1,5,2010,Normal,1
RL,68.0,50271,Pave,AllPub,1Story,1981,CBlock,5,1,11,2006,Normal,3
RL,60.0,7134,Pave,AllPub,SLvl,1955,CBlock,6,1,2,2007,Normal,1
RL,100.0,10175,Pave,AllPub,1Story,1964,CBlock,7,1,7,2008,Normal,2
FV,24.0,2645,Pave,AllPub,2Story,1999,PConc,7,1,8,2009,Abnorml,1
RL,89.0,11645,Pave,AllPub,2Story,2004,PConc,7,1,8,2006,Normal,2
RL,66.0,13682,Pave,AllPub,2Story,2006,PConc,10,1,10,2006,Partial,3
RL,60.0,7200,Pave,AllPub,1Story,1972,CBlock,4,1,1,2008,Normal,1
RL,63.0,13072,Pave,AllPub,1Story,2004,PConc,5,1,5,2006,Partial,1
RM,60.0,7200,Pave,AllPub,2.5Unf,1920,BrkTil,6,1,3,2007,Normal,0
RL,44.0,6442,Pave,AllPub,1Story,2006,PConc,6,1,10,2007,Normal,2
RM,50.0,10300,Pave,AllPub,2Story,1921,BrkTil,9,1,4,2010,Normal,1
RL,,9375,Pave,AllPub,2Story,1997,PConc,8,1,2,2009,Normal,2
RL,76.0,9591,Pave,AllPub,2Story,2004,PConc,9,1,10,2007,Normal,3
RL,,19900,Pave,AllPub,1Story,1970,CBlock,7,1,7,2010,Normal,2
RL,72.0,10665,Pave,AllPub,1Story,2003,PConc,7,1,6,2007,Normal,2
RM,47.0,4608,Pave,AllPub,1Story,1945,CBlock,4,1,6,2010,Normal,0
RL,81.0,15593,Pave,AllPub,1.5Fin,1953,CBlock,7,1,7,2006,Normal,2
RL,95.0,13651,Pave,AllPub,1Story,1973,CBlock,8,1,2,2007,Normal,2
RL,69.0,7599,Pave,AllPub,1Story,1982,CBlock,4,1,6,2007,Normal,1
RL,74.0,10141,Pave,AllPub,2Story,1998,PConc,7,1,12,2009,Normal,2
RL,85.0,10200,Pave,AllPub,1Story,1954,CBlock,6,1,5,2010,Normal,1
RM,60.0,5790,Pave,AllPub,2Story,1915,CBlock,8,2,5,2010,Normal,1
RM,21.0,1596,Pave,AllPub,SLvl,1973,CBlock,5,1,11,2009,Normal,0
RL,,8475,Pave,AllPub,1Story,1956,CBlock,4,1,4,2008,Normal,1
RM,50.0,8635,Pave,AllPub,1.5Fin,1948,CBlock,6,1,1,2008,Normal,1
RL,72.0,10778,Pave,AllPub,1Story,1968,CBlock,8,2,4,2010,Normal,1
RM,60.0,10440,Pave,AllPub,2Story,1910,PConc,5,1,5,2009,Normal,1
RL,100.0,13000,Pave,AllPub,2Story,1968,CBlock,8,1,6,2009,Normal,2
RM,32.0,4500,Pave,AllPub,1Story,1998,PConc,5,1,3,2006,Normal,1
RL,78.0,10206,Pave,AllPub,1Story,2007,PConc,6,1,10,2008,Normal,2
RL,80.0,8892,Pave,AllPub,1Story,1960,CBlock,6,1,7,2007,Normal,1
RL,,8530,Pave,AllPub,SLvl,1995,PConc,7,1,5,2009,Normal,1
RL,121.0,16059,Pave,AllPub,2Story,1991,CBlock,9,1,4,2006,Normal,2
RL,122.0,11911,Pave,AllPub,2Story,2005,PConc,6,1,3,2009,Normal,1
FV,40.0,3951,Pave,AllPub,2Story,2009,PConc,4,1,6,2009,Partial,1
C (all),105.0,8470,Pave,AllPub,1.5Fin,1915,CBlock,6,1,10,2009,Abnorml,0
RL,60.0,8070,Pave,AllPub,1Story,1994,PConc,5,1,8,2007,Normal,1
RL,60.0,7200,Pave,AllPub,1Story,1950,Slab,4,1,7,2006,Normal,1
RL,85.0,8500,Pave,AllPub,1Story,1961,CBlock,6,1,12,2006,Abnorml,0
RL,80.0,13360,Pave,AllPub,1Story,1921,BrkTil,5,1,8,2009,Normal,1
C (all),60.0,7200,Pave,AllPub,2.5Unf,1910,BrkTil,9,2,11,2007,Normal,1
RL,69.0,9337,Pave,AllPub,2Story,1997,PConc,7,1,5,2007,Normal,2
RL,,9765,Pave,AllPub,2Story,1993,PConc,6,1,4,2009,Normal,2
RL,78.0,10264,Pave,AllPub,1Story,1999,PConc,6,1,8,2006,Normal,2
RL,73.0,10921,Pave,AllPub,1Story,1965,CBlock,6,1,5,2007,Normal,0
RL,85.0,10625,Pave,AllPub,1Story,1920,BrkTil,5,1,5,2010,Abnorml,0
