GenderSelect,Country,Age,CurrentJobTitleSelect,LanguageRecommendationSelect,FormalEducation,MLSkillsSelect,EmployerIndustry,TimeGatheringData,TimeModelBuilding,TimeProduction,TimeVisualizing,TimeFindingInsights,TimeOtherSelect,JobSatisfaction,CompensationUSD
Male,United States,56.0,Operations Research Practitioner,Python,Master's degree,"Recommendation Engines,Reinforcement learning,Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning",Mix of fields,50.0,20.0,0.0,10.0,20.0,0.0,10,250000.0
Female,Australia,43.0,Business Analyst,Python,Bachelor's degree,Supervised Machine Learning (Tabular Data),Non-profit,60.0,10.0,5.0,15.0,10.0,0.0,7,64184.8
Male,Russia,33.0,Software Developer/Software Engineer,Python,Bachelor's degree,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Internet-based,40.0,30.0,15.0,10.0,5.0,0.0,7,20882.4
Male,India,27.0,Data Scientist,Python,Bachelor's degree,"Computer Vision,Natural Language Processing,Recommendation Engines,Reinforcement learning,Speech Recognition,Supervised Machine Learning (Tabular Data)",Mix of fields,30.0,20.0,10.0,10.0,30.0,0.0,7,1483.8999999999999
Male,Taiwan,26.0,Software Developer/Software Engineer,Python,Master's degree,Supervised Machine Learning (Tabular Data),Financial,35.0,20.0,25.0,10.0,10.0,0.0,5,36634.4
Male,United States,25.0,Researcher,Python,Bachelor's degree,"Adversarial Learning,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Academic,0.0,80.0,0.0,20.0,0.0,0.0,6,20000.0
Male,United States,33.0,Scientist/Researcher,Matlab,Doctoral degree,"Computer Vision,Machine Translation",Telecommunications,0.0,0.0,0.0,0.0,0.0,0.0,7,100000.0
Male,Czech Republic,21.0,Other,Python,Some college/university study without earning a bachelor's degree,"Computer Vision,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Academic,20.0,60.0,20.0,0.0,0.0,0.0,5,916.4
Male,Russia,22.0,Data Analyst,Python,Bachelor's degree,"Supervised Machine Learning (Tabular Data),Time Series",Mix of fields,50.0,20.0,10.0,5.0,15.0,0.0,8,10858.848
Male,Colombia,34.0,Data Scientist,Python,Master's degree,"Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Financial,60.0,10.0,20.0,5.0,5.0,0.0,9,53352.0
Male,Germany,41.0,Data Scientist,Python,I did not complete any formal education past high school,"Natural Language Processing,Reinforcement learning,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning,Other (please specify; separate by semi-colon)",Internet-based,50.0,10.0,20.0,10.0,10.0,0.0,8,179373.9
Male,Poland,29.0,Software Developer/Software Engineer,Python,Master's degree,Supervised Machine Learning (Tabular Data),Pharmaceutical,25.0,20.0,25.0,20.0,10.0,0.0,9,35419.104
Male,United Kingdom,36.0,Data Scientist,Python,Doctoral degree,"Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series",Financial,60.0,5.0,15.0,10.0,10.0,0.0,7,172144.44
Male,United States,35.0,Engineer,Python,Doctoral degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning",Technology,30.0,20.0,5.0,15.0,30.0,0.0,8,133000.0
Male,Sweden,37.0,Machine Learning Engineer,Python,Master's degree,"Adversarial Learning,Computer Vision,Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning",Technology,15.0,35.0,20.0,10.0,20.0,0.0,9,80000.0
Male,Portugal,30.0,Data Scientist,Python,Master's degree,"Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data)",Technology,50.0,30.0,10.0,10.0,0.0,0.0,7,35874.78
Male,Mexico,26.0,Data Scientist,Python,Some college/university study without earning a bachelor's degree,Time Series,Technology,40.0,40.0,10.0,5.0,5.0,0.0,7,11282.8
Male,Iran,31.0,Scientist/Researcher,Python,Doctoral degree,"Computer Vision,Survival Analysis",Technology,30.0,30.0,30.0,10.0,0.0,0.0,6,15000.0
Male,India,29.0,Data Scientist,R,Master's degree,"Adversarial Learning,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Technology,30.0,30.0,20.0,10.0,10.0,0.0,7,1874.3999999999999
Male,France,25.0,Data Scientist,Python,Master's degree,"Computer Vision,Natural Language Processing,Supervised Machine Learning (Tabular Data)",Financial,40.0,30.0,10.0,10.0,10.0,0.0,8,119582.6
Male,Spain,38.0,Data Scientist,R,Doctoral degree,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Mix of fields,40.0,20.0,10.0,20.0,10.0,0.0,5,43049.736000000004
Male,United States,40.0,Scientist/Researcher,Python,Doctoral degree,"Adversarial Learning,Computer Vision,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Technology,60.0,20.0,0.0,20.0,0.0,0.0,8,215000.0
Male,United States,25.0,Engineer,Python,Master's degree,"Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data)",CRM/Marketing,70.0,15.0,5.0,5.0,5.0,0.0,6,7807.878
Male,Germany,44.0,Other,Python,Master's degree,,Internet-based,60.0,0.0,20.0,20.0,0.0,0.0,7,77728.69
Female,United States,31.0,Scientist/Researcher,R,Doctoral degree,"Supervised Machine Learning (Tabular Data),Survival Analysis,Unsupervised Learning",Academic,30.0,30.0,10.0,10.0,20.0,0.0,7,83500.0
Female,United States,39.0,Predictive Modeler,R,Master's degree,"Supervised Machine Learning (Tabular Data),Unsupervised Learning",Insurance,80.0,10.0,5.0,5.0,0.0,0.0,10,115000.0
Male,Hungary,40.0,Researcher,R,Doctoral degree,Time Series,Academic,35.0,10.0,0.0,30.0,25.0,0.0,8,15584.0
Female,United States,30.0,Business Analyst,Python,Bachelor's degree,"Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series",CRM/Marketing,60.0,10.0,10.0,10.0,10.0,0.0,10,80000.0
Male,United States,50.0,Predictive Modeler,R,Doctoral degree,"Supervised Machine Learning (Tabular Data),Survival Analysis,Unsupervised Learning",Insurance,20.0,25.0,10.0,25.0,20.0,0.0,8,135000.0
Male,United States,59.0,Data Scientist,Python,Master's degree,"Supervised Machine Learning (Tabular Data),Time Series",Other,60.0,10.0,10.0,10.0,10.0,0.0,8,75000.0
Male,Spain,34.0,Software Developer/Software Engineer,Python,Professional degree,"Computer Vision,Reinforcement learning,Supervised Machine Learning (Tabular Data)",Internet-based,10.0,40.0,30.0,10.0,10.0,0.0,5,95666.08
